      frame            row_id        type  landmark_index         x         y             z
0        22         22-face-0        face               0  0.438251  0.449453 -4.782642e-02
1        22         22-face-1        face               1  0.414527  0.404880 -7.199390e-02
2        22         22-face-2        face               2  0.423745  0.420681 -4.214530e-02
3        22         22-face-3        face               3  0.402349  0.372041 -4.390575e-02
4        22         22-face-4        face               4  0.411857  0.393013 -7.474739e-02
5        22         22-face-5        face               5  0.411587  0.379338 -6.694533e-02
6        22         22-face-6        face               6  0.413674  0.347887 -2.378725e-02
7        22         22-face-7        face               7  0.340341  0.361587  5.679097e-02
8        22         22-face-8        face               8  0.411991  0.323421 -9.492436e-03
9        22         22-face-9        face               9  0.409135  0.308535 -8.691768e-03
10       22        22-face-10        face              10  0.401925  0.252454  1.837378e-02
11       22        22-face-11        face              11  0.439115  0.453934 -4.667720e-02
12       22        22-face-12        face              12  0.440237  0.458453 -4.270341e-02
13       22        22-face-13        face              13  0.441448  0.461445 -3.718315e-02
14       22        22-face-14        face              14  0.441708  0.461771 -3.929905e-02
15       22        22-face-15        face              15  0.442383  0.465828 -4.252680e-02
16       22        22-face-16        face              16  0.443341  0.470937 -4.684560e-02
17       22        22-face-17        face              17  0.444764  0.477026 -4.741421e-02
18       22        22-face-18        face              18  0.443554  0.493564 -3.812909e-02
19       22        22-face-19        face              19  0.418135  0.412268 -6.613036e-02
20       22        22-face-20        face              20  0.410597  0.415300 -4.567536e-02
21       22        22-face-21        face              21  0.303564  0.329427  1.444574e-01
22       22        22-face-22        face              22  0.373997  0.365442  3.201821e-02
23       22        22-face-23        face              23  0.362194  0.368536  3.637389e-02
24       22        22-face-24        face              24  0.351057  0.369817  4.341069e-02
25       22        22-face-25        face              25  0.337286  0.366716  5.943147e-02
26       22        22-face-26        face              26  0.383621  0.360411  3.008655e-02
27       22        22-face-27        face              27  0.349979  0.337602  3.552005e-02
28       22        22-face-28        face              28  0.364012  0.336254  3.143792e-02
29       22        22-face-29        face              29  0.338188  0.341694  4.296793e-02
30       22        22-face-30        face              30  0.331754  0.347372  5.007372e-02
31       22        22-face-31        face              31  0.329722  0.375602  6.705208e-02
32       22        22-face-32        face              32  0.405001  0.519315 -1.255333e-02
33       22        22-face-33        face              33  0.336537  0.359703  6.278489e-02
34       22        22-face-34        face              34  0.308395  0.379223  1.387918e-01
35       22        22-face-35        face              35  0.318627  0.370620  8.597454e-02
36       22        22-face-36        face              36  0.366430  0.412180  9.563258e-03
37       22        22-face-37        face              37  0.421362  0.448959 -4.110805e-02
38       22        22-face-38        face              38  0.425659  0.459846 -3.629903e-02
39       22        22-face-39        face              39  0.406224  0.455757 -2.840760e-02
40       22        22-face-40        face              40  0.396691  0.462266 -1.541492e-02
41       22        22-face-41        face              41  0.413497  0.462562 -2.668801e-02
42       22        22-face-42        face              42  0.403902  0.465667 -1.505448e-02
43       22        22-face-43        face              43  0.385378  0.483354  3.166134e-03
44       22        22-face-44        face              44  0.404561  0.406233 -6.831520e-02
45       22        22-face-45        face              45  0.399925  0.395308 -7.019603e-02
46       22        22-face-46        face              46  0.315419  0.342373  6.168386e-02
47       22        22-face-47        face              47  0.386522  0.380612  7.440570e-03
48       22        22-face-48        face              48  0.382078  0.411402 -2.666166e-02
49       22        22-face-49        face              49  0.380984  0.406121 -2.129616e-02
50       22        22-face-50        face              50  0.334495  0.417680  3.887627e-02
51       22        22-face-51        face              51  0.400500  0.382411 -5.907220e-02
52       22        22-face-52        face              52  0.336632  0.325586  3.028524e-02
53       22        22-face-53        face              53  0.322702  0.332391  4.600662e-02
54       22        22-face-54        face              54  0.306876  0.306037  1.181110e-01
55       22        22-face-55        face              55  0.387580  0.325341  2.242537e-03
56       22        22-face-56        face              56  0.377075  0.338291  3.177547e-02
57       22        22-face-57        face              57  0.373424  0.474238  1.247635e-02
58       22        22-face-58        face              58  0.348517  0.485794  1.461473e-01
59       22        22-face-59        face              59  0.394015  0.416752 -2.572228e-02
60       22        22-face-60        face              60  0.404704  0.418975 -3.252222e-02
61       22        22-face-61        face              61  0.387083  0.471986  8.959535e-03
62       22        22-face-62        face              62  0.390452  0.471215  3.264224e-03
63       22        22-face-63        face              63  0.316829  0.326904  5.607026e-02
64       22        22-face-64        face              64  0.384560  0.417646 -2.066490e-02
65       22        22-face-65        face              65  0.357518  0.322536  1.544604e-02
